,Age,Gender,Emotion,Ethnicity,Skin Colour,Eye Colour,Hair Colour,Nose Width,Nose Height,Eye Ave Width,Eye Area,Eye Spacing,Mouth Width,Lip Thickness,Face Area
61,32,Woman,angry,white,,black,black,1.7985611510791366,4.017857142857143,1.7266187050359714,9.937373841933647,6.115107913669064,4.028776978417266,2.321428571428572,15568
62,46,Woman,neutral,black,,black,black,2.265625,4.086956521739131,1.8359375,10.7574462890625,6.25,4.0625,1.9130434782608696,14720
63,28,Woman,neutral,asian,,black,black,2.0,3.9622641509433967,1.7692307692307694,9.526627218934912,6.307692307692308,4.153846153846153,1.5094339622641508,13780
64,37,Woman,sad,latino hispanic,,black,black,1.9310344827586208,4.224137931034483,1.6896551724137931,9.322235434007132,5.793103448275862,3.5862068965517238,1.8965517241379308,16820
65,26,Man,neutral,asian,,black,black,1.942446043165468,4.553571428571429,1.762589928057554,11.412452771595673,6.043165467625898,3.741007194244604,1.6964285714285716,15568
66,14,Woman,neutral,asian,,black,black,1.8382352941176472,4.591836734693878,1.8014705882352944,11.921496539792388,6.25,3.75,1.4285714285714284,13328
67,32,Woman,neutral,indian,,brown,black,2.028985507246377,4.414414414414415,1.920289855072464,11.132115101869354,6.304347826086958,3.9130434782608696,1.8018018018018016,15318
68,35,Woman,happy,black,,black,black,2.4087591240875907,3.853211009174312,1.8248175182481752,11.32186051467846,6.2773722627737225,4.233576642335766,2.201834862385321,14933
69,27,Woman,happy,white,,black,black,1.98581560283688,4.205607476635514,1.7375886524822697,8.626326643528996,6.0992907801418434,3.9716312056737593,1.8691588785046729,15087
70,26,Woman,happy,white,,black,black,2.112676056338028,4.385964912280701,1.6549295774647887,7.575381868676849,5.985915492957746,3.9436619718309855,2.280701754385965,16188
71,42,Man,neutral,white,,black,brown,2.1476510067114094,4.0458015267175576,1.6442953020134232,7.724877257781182,5.704697986577179,3.8926174496644297,0.9923664122137404,19519
72,34,Woman,happy,white,,black,black,1.8382352941176472,4.067796610169491,1.7647058823529411,10.380622837370243,6.1764705882352935,4.338235294117647,2.2881355932203387,16048
73,31,Woman,neutral,latino hispanic,,black,black,1.8978102189781016,4.622641509433962,1.8248175182481752,10.655868719697374,6.204379562043796,3.9416058394160585,1.6981132075471697,14522
74,28,Woman,sad,latino hispanic,,black,black,1.7424242424242429,4.545454545454545,1.856060606060606,11.951905417814508,6.287878787878787,3.333333333333333,1.9090909090909087,14520
75,38,Woman,happy,white,,grey,black,2.028985507246377,4.369747899159663,1.8478260869565213,12.051039697542532,6.231884057971015,4.3478260869565215,2.184873949579832,16422
76,26,Woman,fear,white,,grey,blonde,1.773049645390071,4.051724137931034,1.702127659574468,9.053870529651425,6.028368794326241,3.9716312056737593,1.9827586206896552,16356
77,28,Woman,happy,white,,black,brown,1.9047619047619049,4.322033898305085,1.7346938775510203,9.440510898236845,5.850340136054423,4.149659863945578,2.2033898305084745,17346
78,21,Woman,neutral,latino hispanic,,brown,black,1.9852941176470589,4.587155963302751,1.8014705882352944,10.59688581314879,6.25,3.970588235294117,2.201834862385321,14824
79,27,Woman,happy,white,,black,brown,1.9696969696969693,4.454545454545454,1.8181818181818183,10.330578512396697,6.287878787878787,3.8636363636363633,2.0,14520
80,37,Man,angry,black,,black,black,2.0454545454545454,4.035087719298246,1.5909090909090908,10.847107438016527,5.5303030303030285,3.4090909090909087,1.5789473684210529,15048
